
------------ Options -------------
batch_size: 1
beta1: 0.9
beta2: 0.999
channels: 1
checkpoints_path: ../missed
cuda: True
dataset_path: /home/nitish/Desktop/ninad/data/
debug: True
ensemble: 1
epochs: 30
gpu_ids: 0
log_interval: 50
lr: 0.001
network: 1
no_cuda: False
patch_stride: 256
seed: 1
test_batch_size: 32
testset_path: 
tid: missed
-------------- End ----------------

Start training patch-wise network: 2019/06/21 15:14

/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py:26: UserWarning: 
This call to matplotlib.use() has no effect because the backend has already
been chosen; matplotlib.use() must be called *before* pylab, matplotlib.pyplot,
or matplotlib.backends is imported for the first time.

The backend was *originally* set to 'TkAgg' by the following code:
  File "train.py", line 2, in <module>
    from src import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/__init__.py", line 1, in <module>
    from .models import *
  File "/home/nitish/Desktop/ninad/code/iciar2018/new/ICIAR2018/src/models.py", line 8, in <module>
    import matplotlib.pyplot as plt
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/pyplot.py", line 71, in <module>
    from matplotlib.backends import pylab_setup
  File "/home/nitish/anaconda3/envs/pytorch_gpu/lib/python3.6/site-packages/matplotlib/backends/__init__.py", line 17, in <module>
    line for line in traceback.format_stack()


  mpl.use('Agg')
Epoch: 1/30 [50/267680 (0%)]	Loss: 3.847986, Accuracy: 39.00%
Epoch: 1/30 [100/267680 (0%)]	Loss: 0.671439, Accuracy: 34.00%
Epoch: 1/30 [150/267680 (0%)]	Loss: 2.006486, Accuracy: 36.00%
Epoch: 1/30 [200/267680 (0%)]	Loss: 0.031672, Accuracy: 40.00%
Epoch: 1/30 [250/267680 (0%)]	Loss: 1.202971, Accuracy: 43.00%
Epoch: 1/30 [300/267680 (0%)]	Loss: 0.627259, Accuracy: 41.00%
Epoch: 1/30 [350/267680 (0%)]	Loss: 3.157825, Accuracy: 41.00%
Epoch: 1/30 [400/267680 (0%)]	Loss: 2.861093, Accuracy: 42.00%
Epoch: 1/30 [450/267680 (0%)]	Loss: 3.490136, Accuracy: 41.00%
Epoch: 1/30 [500/267680 (0%)]	Loss: 0.730674, Accuracy: 41.00%
Epoch: 1/30 [550/267680 (0%)]	Loss: 0.915288, Accuracy: 41.00%
Epoch: 1/30 [600/267680 (0%)]	Loss: 0.747172, Accuracy: 42.00%
Epoch: 1/30 [650/267680 (0%)]	Loss: 1.951505, Accuracy: 43.00%
Epoch: 1/30 [700/267680 (0%)]	Loss: 1.789544, Accuracy: 41.00%
Epoch: 1/30 [750/267680 (0%)]	Loss: 0.253337, Accuracy: 42.00%
Epoch: 1/30 [800/267680 (0%)]	Loss: 0.617087, Accuracy: 42.00%
Epoch: 1/30 [850/267680 (0%)]	Loss: 0.768097, Accuracy: 42.00%
Epoch: 1/30 [900/267680 (0%)]	Loss: 0.609191, Accuracy: 42.00%
Epoch: 1/30 [950/267680 (0%)]	Loss: 0.811643, Accuracy: 42.00%
Epoch: 1/30 [1000/267680 (0%)]	Loss: 1.258462, Accuracy: 42.00%
Epoch: 1/30 [1050/267680 (0%)]	Loss: 0.609966, Accuracy: 42.00%
Epoch: 1/30 [1100/267680 (0%)]	Loss: 0.383209, Accuracy: 42.00%
Epoch: 1/30 [1150/267680 (0%)]	Loss: 0.962306, Accuracy: 43.00%
Epoch: 1/30 [1200/267680 (0%)]	Loss: 0.098240, Accuracy: 43.00%
Epoch: 1/30 [1250/267680 (0%)]	Loss: 1.954416, Accuracy: 43.00%
Epoch: 1/30 [1300/267680 (0%)]	Loss: 1.200288, Accuracy: 43.00%
Epoch: 1/30 [1350/267680 (1%)]	Loss: 1.037206, Accuracy: 43.00%
Epoch: 1/30 [1400/267680 (1%)]	Loss: 1.016788, Accuracy: 43.00%
Epoch: 1/30 [1450/267680 (1%)]	Loss: 0.860157, Accuracy: 43.00%
Epoch: 1/30 [1500/267680 (1%)]	Loss: 1.641261, Accuracy: 43.00%
Epoch: 1/30 [1550/267680 (1%)]	Loss: 0.490066, Accuracy: 43.00%
Epoch: 1/30 [1600/267680 (1%)]	Loss: 0.600324, Accuracy: 43.00%
Epoch: 1/30 [1650/267680 (1%)]	Loss: 0.576411, Accuracy: 44.00%
Epoch: 1/30 [1700/267680 (1%)]	Loss: 0.634118, Accuracy: 44.00%
Epoch: 1/30 [1750/267680 (1%)]	Loss: 0.889303, Accuracy: 44.00%
Epoch: 1/30 [1800/267680 (1%)]	Loss: 0.231210, Accuracy: 44.00%
Epoch: 1/30 [1850/267680 (1%)]	Loss: 1.750803, Accuracy: 43.00%
